Sector,Year,First_Close,Last_Close,Annual_Return_%
Auto,2023,8158.75537109375,4045.635498046875,-50.41
Auto,2024,10078.0009765625,4793.642578125,-52.43
Banking,2023,783.6778564453125,1100.5093994140625,40.43
Banking,2024,826.4410400390625,1069.036376953125,29.35
Energy,2023,1175.8896484375,200.95689392089844,-82.91
Energy,2024,1285.6097412109375,269.9595031738281,-79.0
FMCG,2023,2421.494384765625,543.6184692382812,-77.55
FMCG,2024,2551.789794921875,497.6060791015625,-80.5
IT,2023,2932.7939453125,1203.5548095703125,-58.96
IT,2024,3549.36328125,1691.897705078125,-52.33
Infra,2023,2030.88916015625,4614.837890625,127.23
Infra,2024,3465.63134765625,6648.58056640625,91.84
Media,2023,236.19650268554688,18.299999237060547,-92.25
Media,2024,276.9552001953125,10.109999656677246,-96.35
Metal,2023,110.62044525146484,326.8200378417969,195.44
Metal,2024,133.96388244628906,347.9419250488281,159.73
Pharma,2023,962.1013793945312,5667.388671875,489.06
Pharma,2024,1229.601318359375,7284.9111328125,492.46
Realty,2023,372.3066101074219,893.0454711914062,139.87
Realty,2024,714.2637329101562,1223.552001953125,71.3
